Unnamed: 0,AMZN,RSI,AMZN_rsi_entry_exit,AMZN_rsi_balance
2018-04-03,1392.05,37.62669179728464,0,0
2018-04-04,1410.58,40.39616793770767,0,0
2018-04-05,1451.75,46.1203536627672,0,0
2018-04-06,1405.21,41.29263128699244,0,0
2018-04-09,1405.91,41.39200302414072,0,0
2018-04-10,1436.26,45.684769209577,0,0
2018-04-11,1427.29,44.64398255187323,0,0
2018-04-12,1448.48,47.67654591408053,0,0
2018-04-13,1431.11,45.47720595034105,0,0
2018-04-16,1440.63,46.922382207508974,0,0
2018-04-17,1503.63,55.355676327970215,0,0
2018-04-18,1527.85,58.1111873190924,0,0
2018-04-19,1556.73,61.187400074777166,0,0
2018-04-20,1527.5,56.65263549304075,0,0
2018-04-23,1517.85,55.19817918554571,0,0
2018-04-24,1460.61,47.421212931719104,0,0
